USER,DAY,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,DURATION IN BED,HOURS IN BED
64ec9feb4c05112928d8ad16,Friday,04/01/22,90,7:22:00,18.00%,21.00%,98.00%,9:49pm - 6:01am,?
64ec9feb4c05112928d8ad16,Saturday,04/02/22,89,8:40:00,21.00%,21.00%,73.00%,9:50pm - 7:26am,?
64ec9feb4c05112928d8ad16,Sunday,04/03/22,81,8:52:00,21.00%,17.00%,26.00%,11:29pm - 9:54am,?
64ec9feb4c05112928d8ad16,Monday,04/04/22,83,6:50:00,17.00%,19.00%,99.00%,10:12pm - 5:49am,?
64ec9feb4c05112928d8ad16,Tuesday,04/05/22,84,6:57:00,18.00%,21.00%,97.00%,9:45pm - 5:43am,?
64ec9feb4c05112928d8ad16,Wednesday,04/06/22,83,7:27:00,17.00%,19.00%,77.00%,9:22pm - 6:14am,?
64ec9feb4c05112928d8ad16,Thursday,04/07/22,87,7:57:00,22.00%,14.00%,68.00%,10:05pm - 6:55am,?
64ec9feb4c05112928d8ad17,Friday,04/01/22,83,7:27:00,19.00%,18.00%,71.00%,9:42pm - 6:36am,?
64ec9feb4c05112928d8ad17,Saturday,04/02/22,87,8:12:00,19.00%,15.00%,71.00%,11:27pm - 8:36am,?
64ec9feb4c05112928d8ad17,Sunday,04/03/22,83,6:57:00,15.00%,18.00%,96.00%,12:53am - 8:39am,?
64ec9feb4c05112928d8ad17,Monday,04/04/22,88,7:39:00,17.00%,19.00%,98.00%,9:35pm - 6:02am,?
64ec9feb4c05112928d8ad17,Tuesday,04/05/22,86,8:00:00,20.00%,19.00%,73.00%,9:52pm - 7:10am,?
64ec9feb4c05112928d8ad17,Wednesday,04/06/22,82,7:48:00,11.00%,13.00%,73.00%,10:51pm - 8:02am,?
64ec9feb4c05112928d8ad17,Thursday,04/07/22,83,7:19:00,19.00%,23.00%,77.00%,9:35pm - 5:58am,?
